Elements,Algorithm,Steps,Big O(n),Big Omega(n),Theta(n)
1000,bubbleSort,5404607,N/A,N/A,N/A
1000,bubbleSort,5404607,N/A,N/A,N/A
1000,mergeSort,196080,N/A,N/A,N/A
1000,bubbleSort,5404607,N/A,N/A,N/A
1000,mergeSort,196080,N/A,N/A,N/A
1000,bubbleSort,5404607,N/A,N/A,N/A
1000,mergeSort,196080,N/A,N/A,N/A
1000,quickSort,170896,N/A,N/A,N/A
1000,bubbleSort,5404607,N/A,N/A,N/A
1000,mergeSort,196080,N/A,N/A,N/A
1000,quickSort,170896,N/A,N/A,N/A
1000,bubbleSort,5336894,N/A,N/A,N/A
1000,bubbleSort,5336894,N/A,N/A,N/A
1000,mergeSort,196080,N/A,N/A,N/A
50,Bubble Sort,1880,2500,50,2500
100,Bubble Sort,7339,10000,100,10000
150,Bubble Sort,16040,22500,150,22500
200,Bubble Sort,29368,40000,200,40000
250,Bubble Sort,45545,62500,250,62500
300,Bubble Sort,65716,90000,300,90000
350,Bubble Sort,89003,122500,350,122500
400,Bubble Sort,116960,160000,400,160000
450,Bubble Sort,149019,202500,450,202500
500,Bubble Sort,184108,250000,500,250000
550,Bubble Sort,222569,302500,550,302500
600,Bubble Sort,266191,360000,600,360000
650,Bubble Sort,312843,422500,650,422500
700,Bubble Sort,366139,490000,700,490000
750,Bubble Sort,419520,562500,750,562500
800,Bubble Sort,478957,640000,800,640000
850,Bubble Sort,539743,722500,850,722500
900,Bubble Sort,604998,810000,900,810000
950,Bubble Sort,674827,902500,950,902500
1000,Bubble Sort,746129,1000000,1000,1000000
50,Merge Sort,572,282.1928094887362,282.1928094887362,282.1928094887362
100,Merge Sort,1344,664.3856189774725,664.3856189774725,664.3856189774725
150,Merge Sort,2188,1084.322803574382,1084.322803574382,1084.322803574382
200,Merge Sort,3088,1528.7712379549448,1528.7712379549448,1528.7712379549448
250,Merge Sort,3988,1991.4460711655217,1991.4460711655217,1991.4460711655217
300,Merge Sort,4976,2468.6456071487646,2468.6456071487646,2468.6456071487646
350,Merge Sort,5976,2957.923889141315,2957.923889141315,2957.923889141315
400,Merge Sort,6976,3457.54247590989,3457.54247590989,3457.54247590989
450,Merge Sort,7976,3966.2015360476667,3966.2015360476667,3966.2015360476667
500,Merge Sort,8976,4482.892142331044,4482.892142331044,4482.892142331044
550,Merge Sort,10052,5006.808294626612,5006.808294626612,5006.808294626612
600,Merge Sort,11152,5537.291214297529,5537.291214297529,5537.291214297529
650,Merge Sort,12252,6073.792340145282,6073.792340145282,6073.792340145282
700,Merge Sort,13352,6615.84777828263,6615.84777828263,6615.84777828263
